set_voltage,it8511_voltage,adc_voltage,adc_vs_it8511_mv,board_number,hardware_id
16.0,16.02,15.830801,-189.19900000000035,5,RP2350_260E44FE
16.5,16.52,16.330800599999996,-189.19940000000324,5,RP2350_260E44FE
17.0,17.02,16.8276004,-192.39959999999812,5,RP2350_260E44FE
17.5,17.51,17.3304,-179.60000000000065,5,RP2350_260E44FE
18.0,18.01,17.8236004,-186.39960000000144,5,RP2350_260E44FE
18.5,18.5,18.3204004,-179.59959999999953,5,RP2350_260E44FE
19.0,19.0,18.8124012,-187.59879999999995,5,RP2350_260E44FE
19.5,19.5,19.318400399999998,-181.59960000000197,5,RP2350_260E44FE
20.0,20.0,19.820002,-179.9980000000012,5,RP2350_260E44FE
20.5,20.56,20.3776012,-182.39879999999786,5,RP2350_260E44FE
21.0,21.05,20.870001600000002,-179.99839999999878,5,RP2350_260E44FE
21.5,21.55,21.369201600000004,-180.79839999999692,5,RP2350_260E44FE
22.0,22.05,21.872002,-177.99800000000232,5,RP2350_260E44FE
22.5,22.55,22.3708008,-179.19919999999934,5,RP2350_260E44FE
23.0,23.05,22.8640012,-185.99880000000013,5,RP2350_260E44FE
23.5,23.54,23.358802,-181.19799999999842,5,RP2350_260E44FE
24.0,24.03,23.8560012,-173.99879999999968,5,RP2350_260E44FE
24.5,24.54,24.362800400000005,-177.19959999999446,5,RP2350_260E44FE
25.0,25.035999999999994,24.860801600000002,-175.1983999999922,5,RP2350_260E44FE
25.5,25.52,25.345601199999997,-174.3988000000023,5,RP2350_260E44FE
26.0,26.01,25.840401599999996,-169.59840000000526,5,RP2350_260E44FE
26.5,26.51,26.340801199999998,-169.19880000000376,5,RP2350_260E44FE
27.0,27.018,26.8436008,-174.39919999999987,5,RP2350_260E44FE
27.5,27.51,27.3408008,-169.19920000000133,5,RP2350_260E44FE
28.0,28.01,27.835200800000003,-174.79919999999893,5,RP2350_260E44FE
28.5,28.5,28.3304008,-169.5992000000004,5,RP2350_260E44FE
29.0,29.0,28.8304008,-169.5992000000004,5,RP2350_260E44FE
29.5,29.5,29.3332004,-166.79960000000094,5,RP2350_260E44FE
30.0,30.0,29.8304008,-169.5992000000004,5,RP2350_260E44FE
30.5,30.49,30.330801200000003,-159.1987999999951,5,RP2350_260E44FE
31.0,30.99,30.826401599999997,-163.59840000000148,5,RP2350_260E44FE
31.5,31.49,31.324402,-165.59799999999925,5,RP2350_260E44FE
32.0,32.12,31.9600016,-159.9983999999992,5,RP2350_260E44FE
32.5,32.62,32.45800079999999,-161.9992000000039,5,RP2350_260E44FE
33.0,33.12,32.963200799999996,-156.7992000000018,5,RP2350_260E44FE
33.5,33.63,33.469203199999995,-160.79680000000707,5,RP2350_260E44FE
34.0,34.12,33.961201599999995,-158.798400000002,5,RP2350_260E44FE
34.5,34.62,34.464000799999994,-155.99920000000367,5,RP2350_260E44FE
35.0,35.12,34.964001599999996,-155.99840000000142,5,RP2350_260E44FE
35.5,35.61,35.4560016,-153.99839999999898,5,RP2350_260E44FE
36.0,36.11,35.9596016,-150.39840000000027,5,RP2350_260E44FE
36.5,36.604000000000006,36.457200799999995,-146.7992000000109,5,RP2350_260E44FE
37.0,37.1,36.953203200000004,-146.79679999999706,5,RP2350_260E44FE
37.5,37.608,37.4584016,-149.59839999999502,5,RP2350_260E44FE
38.0,38.096000000000004,37.94960160000001,-146.39839999999538,5,RP2350_260E44FE
38.5,38.61,38.464401599999995,-145.59840000000435,5,RP2350_260E44FE
39.0,39.11,38.962001599999994,-147.99840000000586,5,RP2350_260E44FE
39.5,39.6,39.4632,-136.80000000000092,5,RP2350_260E44FE
40.0,40.11,39.9692024,-140.79759999999908,5,RP2350_260E44FE
40.5,40.6,40.460801599999996,-139.19840000000505,5,RP2350_260E44FE
41.0,41.22,41.0864024,-133.59760000000165,5,RP2350_260E44FE
41.5,41.72,41.586402400000004,-133.59759999999454,5,RP2350_260E44FE
42.0,42.21,42.0776008,-132.39920000000183,5,RP2350_260E44FE
42.5,42.72,42.5820008,-137.99919999999588,5,RP2350_260E44FE
43.0,43.21,43.079603199999994,-130.39680000000686,5,RP2350_260E44FE
43.5,43.72,43.589604,-130.3959999999975,5,RP2350_260E44FE
44.0,44.22,44.088800799999994,-131.19920000000462,5,RP2350_260E44FE
44.5,44.71,44.584803199999996,-125.19680000000477,5,RP2350_260E44FE
45.0,45.21,45.092402400000005,-117.5975999999963,5,RP2350_260E44FE
45.5,45.71,45.590004,-119.99600000000044,5,RP2350_260E44FE
46.0,46.2,46.08240239999999,-117.59760000001052,5,RP2350_260E44FE
46.5,46.7,46.5812,-118.80000000000024,5,RP2350_260E44FE
47.0,47.19,47.074001599999995,-115.99840000000228,5,RP2350_260E44FE
47.5,47.69599999999999,47.578803199999996,-117.196799999995,5,RP2350_260E44FE
48.0,48.19,48.078403200000004,-111.59679999999383,5,RP2350_260E44FE
48.5,48.7,48.586404,-113.59600000000114,5,RP2350_260E44FE
49.0,49.2,49.0892032,-110.7968000000028,5,RP2350_260E44FE
49.5,49.69,49.5820016,-107.9983999999996,5,RP2350_260E44FE
50.0,50.19,50.0912032,-98.79679999999524,5,RP2350_260E44FE
