set_voltage,it8511_voltage,adc_voltage,adc_vs_it8511_mv,board_number,hardware_id
3.5,3.5200000000000005,3.3440000000000003,-176.00000000000017,5,RP2350_260E44FE
4.0,4.01,3.8348,-175.1999999999998,5,RP2350_260E44FE
4.5,4.51,4.3351999999999995,-174.8000000000003,5,RP2350_260E44FE
5.0,5.01,4.832800000000001,-177.19999999999914,5,RP2350_260E44FE
5.5,5.53,5.3452,-184.80000000000007,5,RP2350_260E44FE
6.0,6.02,5.8424,-177.59999999999997,5,RP2350_260E44FE
6.5,6.519999999999999,6.3355999999999995,-184.39999999999924,5,RP2350_260E44FE
7.0,7.019999999999999,6.8324,-187.5999999999989,5,RP2350_260E44FE
7.5,7.519999999999999,7.331999999999999,-187.99999999999972,5,RP2350_260E44FE
8.0,8.02,7.8347999999999995,-185.20000000000005,5,RP2350_260E44FE
8.5,8.52,8.336400399999999,-183.59960000000086,5,RP2350_260E44FE
9.0,9.02,8.8316008,-188.3991999999992,5,RP2350_260E44FE
9.5,9.51,9.327200199999998,-182.7998000000015,5,RP2350_260E44FE
10.0,10.02,9.8296004,-190.39959999999923,5,RP2350_260E44FE
10.5,10.54,10.3560006,-183.99939999999935,5,RP2350_260E44FE
11.0,11.041999999999998,10.856801,-185.19899999999723,5,RP2350_260E44FE
11.5,11.54,11.3532002,-186.7997999999993,5,RP2350_260E44FE
12.0,12.04,11.8504,-189.59999999999866,5,RP2350_260E44FE
12.5,12.54,12.3508002,-189.19979999999902,5,RP2350_260E44FE
13.0,13.029999999999998,12.840800400000001,-189.19959999999668,5,RP2350_260E44FE
13.5,13.529999999999998,13.344401000000001,-185.5989999999963,5,RP2350_260E44FE
14.0,14.029999999999998,13.8396006,-190.3993999999969,5,RP2350_260E44FE
14.5,14.52,14.336400399999999,-183.59960000000086,5,RP2350_260E44FE
15.0,15.022,14.8360006,-185.99940000000004,5,RP2350_260E44FE
15.5,15.52,15.335200600000002,-184.7993999999975,5,RP2350_260E44FE
