set_voltage,it8511_voltage,adc_voltage,adc_vs_it8511_mv,board_number,hardware_id
26.0,25.889999999999997,25.5724008,-317.59919999999653,4,RP2350_F714B131
26.5,26.389999999999997,26.064402,-325.59799999999586,4,RP2350_F714B131
27.0,26.880000000000003,26.5496012,-330.3988000000011,4,RP2350_F714B131
27.5,27.369999999999997,27.042801199999996,-327.1988000000015,4,RP2350_F714B131
28.0,27.869999999999997,27.5400016,-329.99839999999733,4,RP2350_F714B131
28.5,28.369999999999997,28.0380016,-331.99839999999625,4,RP2350_F714B131
29.0,28.869999999999997,28.5308016,-339.19839999999726,4,RP2350_F714B131
29.5,29.356,29.017599999999998,-338.4000000000036,4,RP2350_F714B131
30.0,29.85,29.508401600000003,-341.5983999999987,4,RP2350_F714B131
30.5,30.35,30.008801999999996,-341.19800000000566,4,RP2350_F714B131
31.0,30.880000000000003,30.533202,-346.7980000000033,4,RP2350_F714B131
31.5,31.369999999999997,31.025201600000003,-344.79839999999484,4,RP2350_F714B131
32.0,32.0,31.646002,-353.99800000000073,4,RP2350_F714B131
32.5,32.5,32.1476008,-352.3992000000007,4,RP2350_F714B131
33.0,33.0,32.644801599999994,-355.19840000000613,4,RP2350_F714B131
33.5,33.48,33.1200016,-359.99839999999494,4,RP2350_F714B131
34.0,33.98,33.618800799999995,-361.1992000000015,4,RP2350_F714B131
34.5,34.47,34.111602399999995,-358.39760000000354,4,RP2350_F714B131
35.0,34.98,34.6152016,-364.79839999999797,4,RP2350_F714B131
35.5,35.47,35.1064016,-363.59840000000077,4,RP2350_F714B131
36.0,35.977999999999994,35.608799999999995,-369.1999999999993,4,RP2350_F714B131
36.5,36.48,36.1128024,-367.19759999999724,4,RP2350_F714B131
37.0,36.97,36.602402399999995,-367.5976000000034,4,RP2350_F714B131
37.5,37.47,37.1044,-365.6000000000006,4,RP2350_F714B131
38.0,37.97,37.599604,-370.3959999999995,4,RP2350_F714B131
38.5,38.45,38.076001600000005,-373.99839999999784,4,RP2350_F714B131
39.0,38.95,38.578800799999996,-371.1992000000066,4,RP2350_F714B131
39.5,39.45,39.0692032,-380.79680000000593,4,RP2350_F714B131
40.0,39.95,39.5720032,-377.99680000000535,4,RP2350_F714B131
40.5,40.45,40.070802400000005,-379.1975999999977,4,RP2350_F714B131
41.0,40.98,40.6004016,-379.598399999999,4,RP2350_F714B131
41.5,41.483999999999995,41.1008024,-383.1975999999955,4,RP2350_F714B131
42.0,41.98,41.5908008,-389.1992000000002,4,RP2350_F714B131
42.5,42.48,42.0920024,-387.9975999999985,4,RP2350_F714B131
43.0,42.98,42.59,-389.99999999999346,4,RP2350_F714B131
43.5,43.47,43.0812008,-388.7992000000011,4,RP2350_F714B131
44.0,43.958000000000006,43.5636008,-394.3992000000023,4,RP2350_F714B131
44.5,44.45,44.0604016,-389.5984000000041,4,RP2350_F714B131
45.0,44.95,44.5572024,-392.7976000000015,4,RP2350_F714B131
45.5,45.45,45.0556016,-394.39840000000004,4,RP2350_F714B131
46.0,45.95,45.550799999999995,-399.20000000000755,4,RP2350_F714B131
46.5,46.46,46.0572024,-402.79759999999953,4,RP2350_F714B131
47.0,46.95,46.55,-400.0000000000057,4,RP2350_F714B131
47.5,47.45,47.045200799999996,-404.79920000000646,4,RP2350_F714B131
48.0,47.95,47.5492024,-400.7976000000042,4,RP2350_F714B131
48.5,48.44199999999999,48.0372016,-404.79839999999,4,RP2350_F714B131
49.0,48.93,48.5224032,-407.5968000000003,4,RP2350_F714B131
49.5,49.42,49.014404000000006,-405.5959999999956,4,RP2350_F714B131
50.0,49.92,49.51520320000001,-404.79679999999263,4,RP2350_F714B131
