set_voltage,it8511_voltage,adc_voltage,adc_vs_it8511_mv,board_number,hardware_id
3.5,3.4900000000000007,3.3223999999999996,-167.60000000000107,4,RP2350_F714B131
4.0,3.9799999999999995,3.816,-163.99999999999972,4,RP2350_F714B131
4.5,4.48,4.306399999999999,-173.6000000000013,4,RP2350_F714B131
5.0,4.97,4.7912,-178.79999999999984,4,RP2350_F714B131
5.5,5.47,5.287999999999999,-182.0000000000004,4,RP2350_F714B131
6.0,5.97,5.783199999999999,-186.80000000000075,4,RP2350_F714B131
6.5,6.470000000000001,6.2772,-192.80000000000098,4,RP2350_F714B131
7.0,6.970000000000001,6.7664,-203.60000000000068,4,RP2350_F714B131
7.5,7.459999999999999,7.257599999999999,-202.39999999999992,4,RP2350_F714B131
8.0,7.970000000000001,7.763199999999999,-206.8000000000012,4,RP2350_F714B131
8.5,8.47,8.2572002,-212.79980000000086,4,RP2350_F714B131
9.0,8.97,8.7508006,-219.19940000000082,4,RP2350_F714B131
9.5,9.47,9.2464004,-223.5996,4,RP2350_F714B131
10.0,9.96,9.735600199999999,-224.39980000000224,4,RP2350_F714B131
10.5,10.47,10.240001000000001,-229.9989999999994,4,RP2350_F714B131
11.0,10.96,10.728000400000003,-231.9995999999982,4,RP2350_F714B131
11.5,11.45,11.217200200000002,-232.79979999999688,4,RP2350_F714B131
12.0,11.95,11.7148008,-235.19919999999848,4,RP2350_F714B131
12.5,12.45,12.2028006,-247.1993999999995,4,RP2350_F714B131
13.0,12.95,12.7068004,-243.19959999999872,4,RP2350_F714B131
13.5,13.440000000000001,13.1944008,-245.5992000000009,4,RP2350_F714B131
14.0,13.940000000000001,13.6868008,-253.19920000000096,4,RP2350_F714B131
14.5,14.440000000000001,14.185601,-254.39900000000114,4,RP2350_F714B131
15.0,14.930000000000001,14.673201,-256.7990000000009,4,RP2350_F714B131
15.5,15.45,15.1824006,-267.59939999999995,4,RP2350_F714B131
16.0,15.95,15.6804002,-269.59979999999996,4,RP2350_F714B131
16.5,16.44,16.1772004,-262.799600000001,4,RP2350_F714B131
17.0,16.94,16.6632008,-276.79920000000277,4,RP2350_F714B131
17.5,17.43,17.1600008,-269.9992000000009,4,RP2350_F714B131
18.0,17.93,17.6556008,-274.3992000000013,4,RP2350_F714B131
18.5,18.43,18.1496004,-280.39959999999905,4,RP2350_F714B131
19.0,18.93,18.644000799999997,-285.9992000000027,4,RP2350_F714B131
19.5,19.42,19.133600400000002,-286.3995999999993,4,RP2350_F714B131
20.0,19.91,19.6252012,-284.7988000000008,4,RP2350_F714B131
20.5,20.43,20.137602,-292.3979999999986,4,RP2350_F714B131
21.0,20.93,20.632800800000002,-297.19919999999786,4,RP2350_F714B131
21.5,21.42,21.1268016,-293.1984000000014,4,RP2350_F714B131
22.0,21.91,21.610401200000002,-299.5987999999983,4,RP2350_F714B131
22.5,22.41,22.1052012,-304.79880000000037,4,RP2350_F714B131
23.0,22.902000000000005,22.599202000000002,-302.7980000000028,4,RP2350_F714B131
23.5,23.41,23.0932004,-316.7995999999995,4,RP2350_F714B131
24.0,23.9,23.5924012,-307.59879999999737,4,RP2350_F714B131
24.5,24.39,24.072801600000002,-317.19839999999874,4,RP2350_F714B131
25.0,24.89,24.566802000000003,-323.1979999999979,4,RP2350_F714B131
25.5,25.39,25.0644016,-325.59840000000054,4,RP2350_F714B131
